Depth;Value;Metodo
525.5;0.019467015;BPF
526.0;0.019803053;BPF
526.5;0.020099524;BPF
527.0;0.020354426;BPF
527.5;0.020567968;BPF
528.0;0.02073802;BPF
528.5;0.020865517;BPF
529.0;0.020947801;BPF
529.5;0.020985639;BPF
530.0;0.020978063;BPF
530.5;0.020924969;BPF
531.0;0.020826293;BPF
531.5;0.020681135;BPF
532.0;0.020490633;BPF
532.5;0.020252913;BPF
533.0;0.01997077;BPF
533.5;0.019640878;BPF
534.0;0.019266905;BPF
534.5;0.01884662;BPF
535.0;0.018382434;BPF
535.5;0.017873986;BPF
536.0;0.017322084;BPF
536.5;0.016728539;BPF
537.0;0.01609209;BPF
537.5;0.015416901;BPF
538.0;0.01469976;BPF
538.5;0.013946349;BPF
539.0;0.013154009;BPF
539.5;0.012327195;BPF
540.0;0.011465544;BPF
540.5;0.0105712665;BPF
541.0;0.009646397;BPF
541.5;0.00869113;BPF
542.0;0.007709905;BPF
542.5;0.006700743;BPF
543.0;0.0056696995;BPF
543.5;0.0046152268;BPF
544.0;0.0035420882;BPF
544.5;0.002450729;BPF
545.0;0.0013441066;BPF
545.5;2.2448352E-4;BPF
546.0;-9.06636E-4;BPF
546.5;-0.002045665;BPF
547.0;-0.003191494;BPF
547.5;-0.0043405895;BPF
548.0;-0.0054912665;BPF
548.5;-0.0066407127;BPF
549.0;-0.007786422;BPF
549.5;-0.0089260265;BPF
550.0;-0.010056978;BPF
550.5;-0.0111765545;BPF
551.0;-0.0122827925;BPF
551.5;-0.013372005;BPF
552.0;-0.014443468;BPF
552.5;-0.0154922865;BPF
553.0;-0.016518462;BPF
553.5;-0.01751772;BPF
554.0;-0.018488701;BPF
554.5;-0.019428547;BPF
555.0;-0.020334842;BPF
555.5;-0.021206181;BPF
556.0;-0.02203834;BPF
556.5;-0.022831805;BPF
557.0;-0.023580989;BPF
557.5;-0.024287447;BPF
558.0;-0.024946425;BPF
558.5;-0.025558045;BPF
559.0;-0.026119146;BPF
559.5;-0.02662859;BPF
560.0;-0.027084759;BPF
560.5;-0.027485356;BPF
561.0;-0.027830204;BPF
561.5;-0.028115433;BPF
562.0;-0.02834297;BPF
562.5;-0.028509209;BPF
563.0;-0.028615102;BPF
563.5;-0.028658062;BPF
564.0;-0.028638853;BPF
564.5;-0.028555337;BPF
565.0;-0.028408278;BPF
565.5;-0.028195916;BPF
566.0;-0.027918233;BPF
566.5;-0.027576102;BPF
567.0;-0.027168468;BPF
567.5;-0.026696803;BPF
568.0;-0.026159672;BPF
568.5;-0.025559582;BPF
569.0;-0.024894405;BPF
569.5;-0.024168205;BPF
570.0;-0.023377666;BPF
570.5;-0.022526955;BPF
571.0;-0.021615783;BPF
571.5;-0.02064611;BPF
572.0;-0.019619366;BPF
572.5;-0.018536149;BPF
573.0;-0.017400118;BPF
573.5;-0.01620998;BPF
574.0;-0.014971865;BPF
574.5;-0.0136826085;BPF
575.0;-0.012349025;BPF
575.5;-0.0109703755;BPF
576.0;-0.0095511535;BPF
576.5;-0.008093066;BPF
577.0;-0.006598497;BPF
577.5;-0.0050715194;BPF
578.0;-0.0035127788;BPF
578.5;-0.001928284;BPF
579.0;-3.1749363E-4;BPF
579.5;0.0013131179;BPF
580.0;0.0029624302;BPF
580.5;0.0046258457;BPF
581.0;0.0063005136;BPF
581.5;0.007982805;BPF
582.0;0.009669177;BPF
582.5;0.011355872;BPF
583.0;0.013039763;BPF
583.5;0.0147160245;BPF
584.0;0.0163825;BPF
584.5;0.018033281;BPF
585.0;0.019666605;BPF
585.5;0.021277286;BPF
586.0;0.02286211;BPF
586.5;0.024417795;BPF
587.0;0.025938662;BPF
587.5;0.027424434;BPF
588.0;0.028865807;BPF
588.5;0.030265488;BPF
589.0;0.03161353;BPF
589.5;0.032911696;BPF
590.0;0.034152657;BPF
590.5;0.03533487;BPF
591.0;0.036454868;BPF
591.5;0.037507284;BPF
592.0;0.038492836;BPF
592.5;0.03940176;BPF
