POZO;DELTA;DELTA ABSOLUTO;CURVA_REGISTRO;CURVA_INVERSION;CORRELACION;INTERVALO_FT;SIGNO_ESPERADO;CONSISTENCIA;LISTA
LLANITO-71;-5.73;5.73;POR;IP_SH-60;-0.245;MTOMC - MTEE;NEGATIVO;CONSISTENTE;SHIFT_30FT
LLANITO-110;6.14;6.14;GR;VPVS_SH-60;0.379;MTOMC - MTEE;POSITIVO;CONSISTENTE;SHIFT_30FT
LLANITO-110;6.14;6.14;VSH;VPVS_SH-60;0.235;MTOMC - MTEE;POSITIVO;CONSISTENTE;SHIFT_30FT
LLANITO-110;6.14;6.14;VSH;IP_SH-60;0.157;MTOMC - MTEE;POSITIVO;CONSISTENTE;SHIFT_30FT
LLANITO-110;6.14;6.14;GR;IP_SH-60;0.155;MTOMC - MTEE;POSITIVO;CONSISTENTE;SHIFT_30FT
LLANITO-110;6.14;6.14;PERM;IP_SH-60;-0.154;MTOMC - MTEE;NEGATIVO;CONSISTENTE;SHIFT_30FT
LLANITO-110;6.14;6.14;POR;IP_SH-60;-0.212;MTOMC - MTEE;NEGATIVO;CONSISTENTE;SHIFT_30FT
LLANITO-110;6.14;6.14;POR;VPVS_SH-60;-0.22;MTOMC - MTEE;NEGATIVO;CONSISTENTE;SHIFT_30FT
LLANITO-110;6.14;6.14;PERM;VPVS_SH-60;-0.233;MTOMC - MTEE;NEGATIVO;CONSISTENTE;SHIFT_30FT
LLANITO-18;-6.47;6.47;PERM;VPVS_SH-60;0.798;MTOMC - MTEE;NEGATIVO;INCONSISTENTE;SHIFT_30FT
LLANITO-18;-6.47;6.47;POR;VPVS_SH-60;0.673;MTOMC - MTEE;NEGATIVO;INCONSISTENTE;SHIFT_30FT
LLANITO-18;-6.47;6.47;VSH;IP_SH-60;0.182;MTOMC - MTEE;POSITIVO;CONSISTENTE;SHIFT_30FT
LLANITO-18;-6.47;6.47;GR;IP_SH-60;0.174;MTOMC - MTEE;POSITIVO;CONSISTENTE;SHIFT_30FT
LLANITO-18;-6.47;6.47;POR;IP_SH-60;-0.188;MTOMC - MTEE;NEGATIVO;CONSISTENTE;SHIFT_30FT
LLANITO-18;-6.47;6.47;PERM;IP_SH-60;-0.229;MTOMC - MTEE;NEGATIVO;CONSISTENTE;SHIFT_30FT
LLANITO-18;-6.47;6.47;VSH;VPVS_SH-60;-0.669;MTOMC - MTEE;POSITIVO;INCONSISTENTE;SHIFT_30FT
LLANITO-18;-6.47;6.47;GR;VPVS_SH-60;-0.709;MTOMC - MTEE;POSITIVO;INCONSISTENTE;SHIFT_30FT
