POZO;DELTA;DELTA ABSOLUTO;CURVA_REGISTRO;CURVA_INVERSION;CORRELACION;INTERVALO_FT;SIGNO_ESPERADO;CONSISTENCIA;LISTA
LLANITO-110;6.14;6.14;GR;IP_SH60;0.418;MTOMC - MTEE;POSITIVO;CONSISTENTE;SHIFT_30FT
LLANITO-110;6.14;6.14;GR;VPVS_SH60;0.41;MTOMC - MTEE;POSITIVO;CONSISTENTE;SHIFT_30FT
LLANITO-110;6.14;6.14;VSH;IP_SH60;0.315;MTOMC - MTEE;POSITIVO;CONSISTENTE;SHIFT_30FT
LLANITO-110;6.14;6.14;PERM;VPVS_SH60;-0.218;MTOMC - MTEE;NEGATIVO;CONSISTENTE;SHIFT_30FT
LLANITO-110;6.14;6.14;PERM;IP_SH60;-0.28;MTOMC - MTEE;NEGATIVO;CONSISTENTE;SHIFT_30FT
LLANITO-110;6.14;6.14;POR;IP_SH60;-0.319;MTOMC - MTEE;NEGATIVO;CONSISTENTE;SHIFT_30FT
LLANITO-110;6.14;6.14;POR;VPVS_SH60;-0.368;MTOMC - MTEE;NEGATIVO;CONSISTENTE;SHIFT_30FT
LLANITO-18;-6.47;6.47;VSH;IP_SH60;0.187;MTOMC - MTEE;POSITIVO;CONSISTENTE;SHIFT_30FT
LLANITO-18;-6.47;6.47;VSH;VPVS_SH60;0.16;MTOMC - MTEE;POSITIVO;CONSISTENTE;SHIFT_30FT
LLANITO-18;-6.47;6.47;GR;VPVS_SH60;0.146;MTOMC - MTEE;POSITIVO;CONSISTENTE;SHIFT_30FT
LLANITO-18;-6.47;6.47;GR;IP_SH60;0.123;MTOMC - MTEE;POSITIVO;CONSISTENTE;SHIFT_30FT
LLANITO-18;-6.47;6.47;POR;VPVS_SH60;-0.162;MTOMC - MTEE;NEGATIVO;CONSISTENTE;SHIFT_30FT
LLANITO-18;-6.47;6.47;POR;IP_SH60;-0.189;MTOMC - MTEE;NEGATIVO;CONSISTENTE;SHIFT_30FT
